"Period","Direction","Passenger_type","Count"
201112,"Arrival","NZ Resident",127356
201112,"Arrival","Overseas visitor",364165
201112,"Arrival","PLT",6970
201112,"Departure","NZ Resident",218882
201112,"Departure","Overseas visitor",232670
201112,"Departure","PLT",7954
201112,"Net migration","PLT",-984
201201,"Arrival","NZ Resident",224359
201201,"Arrival","Overseas visitor",266839
201201,"Arrival","PLT",8641
201201,"Departure","NZ Resident",129084
201201,"Departure","Overseas visitor",364362
201201,"Departure","PLT",9143
201201,"Net migration","PLT",-502
201202,"Arrival","NZ Resident",145388
201202,"Arrival","Overseas visitor",259083
201202,"Arrival","PLT",9288
201202,"Departure","NZ Resident",116391
201202,"Departure","Overseas visitor",261230
201202,"Departure","PLT",8050
201202,"Net migration","PLT",1238
201203,"Arrival","NZ Resident",137348
201203,"Arrival","Overseas visitor",239929
201203,"Arrival","PLT",6790
201203,"Departure","NZ Resident",152987
201203,"Departure","Overseas visitor",269751
201203,"Departure","PLT",8132
201203,"Net migration","PLT",-1342
201204,"Arrival","NZ Resident",178690
201204,"Arrival","Overseas visitor",195668
201204,"Arrival","PLT",5123
201204,"Departure","NZ Resident",183232
201204,"Departure","Overseas visitor",236509
201204,"Departure","PLT",7385
201204,"Net migration","PLT",-2262
201205,"Arrival","NZ Resident",158362
201205,"Arrival","Overseas visitor",140841
201205,"Arrival","PLT",5322
201205,"Departure","NZ Resident",179331
201205,"Departure","Overseas visitor",163556
201205,"Departure","PLT",7112
201205,"Net migration","PLT",-1790
201206,"Arrival","NZ Resident",173475
201206,"Arrival","Overseas visitor",151074
201206,"Arrival","PLT",6049
201206,"Departure","NZ Resident",221065
201206,"Departure","Overseas visitor",138175
201206,"Departure","PLT",7078
201206,"Net migration","PLT",-1029
201207,"Arrival","NZ Resident",246907
201207,"Arrival","Overseas visitor",173539
201207,"Arrival","PLT",7588
201207,"Departure","NZ Resident",205573
201207,"Departure","Overseas visitor",179638
201207,"Departure","PLT",7810
201207,"Net migration","PLT",-222
