"Period","Country","Citizenship","Direction","Count"
201803,"All countries","NZ","Departure",2981
201804,"All countries","non-NZ","Departure",2621
201804,"All countries","NZ","Departure",3166
201805,"All countries","non-NZ","Departure",2783
201805,"All countries","NZ","Departure",3035
201806,"All countries","non-NZ","Departure",2820
201806,"All countries","NZ","Departure",2900
201807,"All countries","non-NZ","Departure",3307
201807,"All countries","NZ","Departure",3225
201808,"All countries","non-NZ","Departure",2447
201808,"All countries","NZ","Departure",3017
201809,"All countries","non-NZ","Departure",2224
201809,"All countries","NZ","Departure",2528
201810,"All countries","non-NZ","Departure",2017
201810,"All countries","NZ","Departure",2196
200811,"All countries","non-NZ","Net migration",2917
200811,"All countries","NZ","Net migration",-1877
200812,"All countries","non-NZ","Net migration",1253
200812,"All countries","NZ","Net migration",-1114
200901,"All countries","non-NZ","Net migration",5230
200901,"All countries","NZ","Net migration",-4026
200902,"All countries","non-NZ","Net migration",5914
200902,"All countries","NZ","Net migration",-2332
200903,"All countries","non-NZ","Net migration",2841
200903,"All countries","NZ","Net migration",-2528
200904,"All countries","non-NZ","Net migration",2495
200904,"All countries","NZ","Net migration",-2069
200905,"All countries","non-NZ","Net migration",2317
200905,"All countries","NZ","Net migration",-1590
200906,"All countries","non-NZ","Net migration",1953
200906,"All countries","NZ","Net migration",-1223
200907,"All countries","non-NZ","Net migration",3719
200907,"All countries","NZ","Net migration",-1050
200908,"All countries","non-NZ","Net migration",2571
200908,"All countries","NZ","Net migration",-952
200909,"All countries","non-NZ","Net migration",3411
200909,"All countries","NZ","Net migration",-304
200910,"All countries","non-NZ","Net migration",2932
200910,"All countries","NZ","Net migration",72
200911,"All countries","non-NZ","Net migration",2530
200911,"All countries","NZ","Net migration",-29
200912,"All countries","non-NZ","Net migration",814
200912,"All countries","NZ","Net migration",557
201001,"All countries","non-NZ","Net migration",4481
201001,"All countries","NZ","Net migration",-1942
201002,"All countries","non-NZ","Net migration",4313
201002,"All countries","NZ","Net migration",-1701
201003,"All countries","non-NZ","Net migration",1883
201003,"All countries","NZ","Net migration",-2215
201004,"All countries","non-NZ","Net migration",1492
201004,"All countries","NZ","Net migration",-2085
201005,"All countries","non-NZ","Net migration",1152
201005,"All countries","NZ","Net migration",-2412
201006,"All countries","non-NZ","Net migration",1442
201006,"All countries","NZ","Net migration",-2175
201007,"All countries","non-NZ","Net migration",3223
201007,"All countries","NZ","Net migration",-1837
201008,"All countries","non-NZ","Net migration",2932
201008,"All countries","NZ","Net migration",-2027
201009,"All countries","non-NZ","Net migration",3673
201009,"All countries","NZ","Net migration",-1159
201010,"All countries","non-NZ","Net migration",3203
201010,"All countries","NZ","Net migration",-1503
201011,"All countries","non-NZ","Net migration",2735
201011,"All countries","NZ","Net migration",-1325
201012,"All countries","non-NZ","Net migration",812
201012,"All countries","NZ","Net migration",-509
201101,"All countries","non-NZ","Net migration",4457
201101,"All countries","NZ","Net migration",-3680
201102,"All countries","non-NZ","Net migration",5130
201102,"All countries","NZ","Net migration",-2958
201103,"All countries","non-NZ","Net migration",1985
201103,"All countries","NZ","Net migration",-4012
201104,"All countries","non-NZ","Net migration",1998
201104,"All countries","NZ","Net migration",-3637
201105,"All countries","non-NZ","Net migration",1677
201105,"All countries","NZ","Net migration",-3820
201106,"All countries","non-NZ","Net migration",1946
201106,"All countries","NZ","Net migration",-3437
201107,"All countries","non-NZ","Net migration",3708
201107,"All countries","NZ","Net migration",-3322
201108,"All countries","non-NZ","Net migration",3186
201108,"All countries","NZ","Net migration",-2891
201109,"All countries","non-NZ","Net migration",3542
201109,"All countries","NZ","Net migration",-2512
201110,"All countries","non-NZ","Net migration",3012
201110,"All countries","NZ","Net migration",-2188
201111,"All countries","non-NZ","Net migration",2841
201111,"All countries","NZ","Net migration",-1896
201112,"All countries","non-NZ","Net migration",1117
201112,"All countries","NZ","Net migration",-2101
201201,"All countries","non-NZ","Net migration",4326
201201,"All countries","NZ","Net migration",-4828
201202,"All countries","non-NZ","Net migration",5363
201202,"All countries","NZ","Net migration",-4125
201203,"All countries","non-NZ","Net migration",3024
201203,"All countries","NZ","Net migration",-4366
201204,"All countries","non-NZ","Net migration",1743
201204,"All countries","NZ","Net migration",-4005
201205,"All countries","non-NZ","Net migration",1952
201205,"All countries","NZ","Net migration",-3742
201206,"All countries","non-NZ","Net migration",2502
201206,"All countries","NZ","Net migration",-3531
201207,"All countries","non-NZ","Net migration",3275
201207,"All countries","NZ","Net migration",-3497
201208,"All countries","non-NZ","Net migration",3025
201208,"All countries","NZ","Net migration",-3049
201209,"All countries","non-NZ","Net migration",4085
201209,"All countries","NZ","Net migration",-2217
201210,"All countries","non-NZ","Net migration",3784
201210,"All countries","NZ","Net migration",-1999
201211,"All countries","non-NZ","Net migration",3321
201211,"All countries","NZ","Net migration",-1624
201212,"All countries","non-NZ","Net migration",1279
201212,"All countries","NZ","Net migration",-1861
201301,"All countries","non-NZ","Net migration",4581
201301,"All countries","NZ","Net migration",-3906
201302,"All countries","non-NZ","Net migration",5337
201302,"All countries","NZ","Net migration",-2916
201303,"All countries","non-NZ","Net migration",3105
201303,"All countries","NZ","Net migration",-3100
201304,"All countries","non-NZ","Net migration",2777
201304,"All countries","NZ","Net migration",-2805
201305,"All countries","non-NZ","Net migration",2240
201305,"All countries","NZ","Net migration",-2564
201306,"All countries","non-NZ","Net migration",2839
201306,"All countries","NZ","Net migration",-2203
201307,"All countries","non-NZ","Net migration",4128
201307,"All countries","NZ","Net migration",-1688
201308,"All countries","non-NZ","Net migration",3747
201308,"All countries","NZ","Net migration",-1492
201309,"All countries","non-NZ","Net migration",4693
201309,"All countries","NZ","Net migration",-499
201310,"All countries","non-NZ","Net migration",4524
201310,"All countries","NZ","Net migration",-423
201311,"All countries","non-NZ","Net migration",4066
201311,"All countries","NZ","Net migration",-381
201312,"All countries","non-NZ","Net migration",2243
201312,"All countries","NZ","Net migration",165
201401,"All countries","non-NZ","Net migration",5654
201401,"All countries","NZ","Net migration",-1781
201402,"All countries","non-NZ","Net migration",6792
201402,"All countries","NZ","Net migration",-1015
201403,"All countries","non-NZ","Net migration",4240
201403,"All countries","NZ","Net migration",-1343
201404,"All countries","non-NZ","Net migration",3497
201404,"All countries","NZ","Net migration",-1073
201405,"All countries","non-NZ","Net migration",3175
201405,"All countries","NZ","Net migration",-1468
201406,"All countries","non-NZ","Net migration",3637
201406,"All countries","NZ","Net migration",-1060
201407,"All countries","non-NZ","Net migration",5779
201407,"All countries","NZ","Net migration",-634
201408,"All countries","non-NZ","Net migration",5266
201408,"All countries","NZ","Net migration",-571
201409,"All countries","non-NZ","Net migration",6233
201409,"All countries","NZ","Net migration",-108
201410,"All countries","non-NZ","Net migration",6134
201410,"All countries","NZ","Net migration",237
201411,"All countries","non-NZ","Net migration",5569
201411,"All countries","NZ","Net migration",268
201412,"All countries","non-NZ","Net migration",2646
201412,"All countries","NZ","Net migration",848
201501,"All countries","non-NZ","Net migration",7719
201501,"All countries","NZ","Net migration",-971
201502,"All countries","non-NZ","Net migration",7875
201502,"All countries","NZ","Net migration",-774
201503,"All countries","non-NZ","Net migration",5154
201503,"All countries","NZ","Net migration",-1103
201504,"All countries","non-NZ","Net migration",3931
201504,"All countries","NZ","Net migration",-969
201505,"All countries","non-NZ","Net migration",3660
201505,"All countries","NZ","Net migration",-944
201506,"All countries","non-NZ","Net migration",3937
201506,"All countries","NZ","Net migration",-923
201507,"All countries","non-NZ","Net migration",7112
201507,"All countries","NZ","Net migration",-587
201508,"All countries","non-NZ","Net migration",5805
201508,"All countries","NZ","Net migration",-459
201509,"All countries","non-NZ","Net migration",7025
201509,"All countries","NZ","Net migration",44
201510,"All countries","non-NZ","Net migration",7233
201510,"All countries","NZ","Net migration",381
201511,"All countries","non-NZ","Net migration",6560
201511,"All countries","NZ","Net migration",459
201512,"All countries","non-NZ","Net migration",3644
201512,"All countries","NZ","Net migration",1121
201601,"All countries","non-NZ","Net migration",8203
201601,"All countries","NZ","Net migration",-474
201602,"All countries","non-NZ","Net migration",9020
201602,"All countries","NZ","Net migration",-439
201603,"All countries","non-NZ","Net migration",5058
201603,"All countries","NZ","Net migration",-779
201604,"All countries","non-NZ","Net migration",4413
201604,"All countries","NZ","Net migration",-960
201605,"All countries","non-NZ","Net migration",3925
201605,"All countries","NZ","Net migration",-887
201606,"All countries","non-NZ","Net migration",4231
201606,"All countries","NZ","Net migration",-559
201607,"All countries","non-NZ","Net migration",6967
201607,"All countries","NZ","Net migration",-517
201608,"All countries","non-NZ","Net migration",5428
201608,"All countries","NZ","Net migration",22
201609,"All countries","non-NZ","Net migration",7380
201609,"All countries","NZ","Net migration",524
201610,"All countries","non-NZ","Net migration",7530
201610,"All countries","NZ","Net migration",412
