"Period","Country","Citizenship","Direction","Count"
201508,"Australia","NZ","Net migration",-130
201509,"Australia","non-NZ","Net migration",461
201509,"Australia","NZ","Net migration",-220
201510,"Australia","non-NZ","Net migration",462
201510,"Australia","NZ","Net migration",-137
201511,"Australia","non-NZ","Net migration",424
201511,"Australia","NZ","Net migration",-7
201512,"Australia","non-NZ","Net migration",322
201512,"Australia","NZ","Net migration",246
201601,"Australia","non-NZ","Net migration",947
201601,"Australia","NZ","Net migration",-894
201602,"Australia","non-NZ","Net migration",476
201602,"Australia","NZ","Net migration",-575
201603,"Australia","non-NZ","Net migration",454
201603,"Australia","NZ","Net migration",-550
201604,"Australia","non-NZ","Net migration",412
201604,"Australia","NZ","Net migration",-490
201605,"Australia","non-NZ","Net migration",373
201605,"Australia","NZ","Net migration",-338
201606,"Australia","non-NZ","Net migration",325
201606,"Australia","NZ","Net migration",-264
201607,"Australia","non-NZ","Net migration",367
201607,"Australia","NZ","Net migration",-287
201608,"Australia","non-NZ","Net migration",387
201608,"Australia","NZ","Net migration",-135
201609,"Australia","non-NZ","Net migration",466
201609,"Australia","NZ","Net migration",-19
201610,"Australia","non-NZ","Net migration",478
201610,"Australia","NZ","Net migration",-266
201611,"Australia","non-NZ","Net migration",479
201611,"Australia","NZ","Net migration",-84
201612,"Australia","non-NZ","Net migration",268
201612,"Australia","NZ","Net migration",33
201701,"Australia","non-NZ","Net migration",867
201701,"Australia","NZ","Net migration",-1113
201702,"Australia","non-NZ","Net migration",477
201702,"Australia","NZ","Net migration",-806
201703,"Australia","non-NZ","Net migration",325
201703,"Australia","NZ","Net migration",-437
201704,"Australia","non-NZ","Net migration",384
201704,"Australia","NZ","Net migration",-700
201705,"Australia","non-NZ","Net migration",390
201705,"Australia","NZ","Net migration",-345
201706,"Australia","non-NZ","Net migration",350
201706,"Australia","NZ","Net migration",-519
201707,"Australia","non-NZ","Net migration",367
201707,"Australia","NZ","Net migration",-378
201708,"Australia","non-NZ","Net migration",342
201708,"Australia","NZ","Net migration",-333
201709,"Australia","non-NZ","Net migration",434
201709,"Australia","NZ","Net migration",-279
201710,"Australia","non-NZ","Net migration",482
201710,"Australia","NZ","Net migration",-226
201711,"Australia","non-NZ","Net migration",517
201711,"Australia","NZ","Net migration",-80
201712,"Australia","non-NZ","Net migration",304
201712,"Australia","NZ","Net migration",86
201801,"Australia","non-NZ","Net migration",797
201801,"Australia","NZ","Net migration",-1114
201802,"Australia","non-NZ","Net migration",446
201802,"Australia","NZ","Net migration",-634
201803,"Australia","non-NZ","Net migration",389
201803,"Australia","NZ","Net migration",-672
201804,"Australia","non-NZ","Net migration",265
201804,"Australia","NZ","Net migration",-751
201805,"Australia","non-NZ","Net migration",319
201805,"Australia","NZ","Net migration",-659
201806,"Australia","non-NZ","Net migration",275
201806,"Australia","NZ","Net migration",-728
201807,"Australia","non-NZ","Net migration",360
201807,"Australia","NZ","Net migration",-620
201808,"Australia","non-NZ","Net migration",301
201808,"Australia","NZ","Net migration",-428
201809,"Australia","non-NZ","Net migration",356
201809,"Australia","NZ","Net migration",-560
201810,"Australia","non-NZ","Net migration",404
201810,"Australia","NZ","Net migration",-452
